,SMA,WMA,SES,Holt,HW_Additive,HW_Multiplicative
MAE,65.84195402298847,51.60477453580905,46.8941643798786,82.41370107309892,17.99293829251895,21.2805071350221
MSE,6295.087404214556,4082.8163640073476,3325.2796568496774,9077.424307707759,467.45826531364094,612.5457780474197
RMSE,79.34158685213295,63.896919831924194,57.66523785479149,95.27551788212836,21.620783179932243,24.74966218047066
MAPE,11.52535940629889,9.097366210944378,8.36951900344885,15.654398488513909,3.308724861084818,3.9175392398852975
