Date,Actual_Price,Predicted_Price,Absolute_Error,Percentage_Error
2025-05-02,1.0408391830635917,0.9042882,0.1365510103417289,13.11931877312752
2025-05-05,0.9548781606615675,0.8807306,0.07414753169428234,7.765130123293506
2025-05-06,0.93234951250712,0.8996296,0.032719919611612136,3.50940491443248
2025-05-07,0.9583460557692749,0.92239976,0.03594629647667236,3.750868098248484
2025-05-08,0.888302940992503,0.8973291,0.009026151033253882,1.0161118033864598
2025-05-09,0.9062497897277388,0.915766,0.009516211019941823,1.0500649079102948
2025-05-12,1.0070749421023468,0.9381839,0.068891038408194,6.840706240230605
2025-05-13,0.9220155267133796,0.919721,0.0022945193662726737,0.24885908098009227
2025-05-14,0.9046463794258752,0.88828254,0.016363841965548076,1.8088661313090342
2025-05-15,0.9783240286061403,0.9076897,0.07063433801623553,7.219932859757239
2025-05-16,1.008890004956624,0.90444934,0.10444066127528862,10.35203647198179
2025-05-19,0.9879808967356305,0.884478,0.10350292375131653,10.476206988748329
2025-05-20,1.0013874530474243,0.9177691,0.08361837860742183,8.350252277772626
2025-05-21,0.9211473198959257,0.9281397,0.006992366688546969,0.7590932023052501
2025-05-22,0.8910917038644883,0.8971865,0.0060948138509657745,0.683971562582591
2025-05-23,1.0265679594414467,0.9081186,0.11844935382773825,11.538384062969028
2025-05-26,0.9430445216904573,0.91356933,0.029475190521328853,3.1255354167683422
2025-05-27,0.9469824332018906,0.87710786,0.06987457454405366,7.37865583290676
2025-05-28,1.0204507973760844,0.89224064,0.1282101538748026,12.564070134931857
2025-05-29,0.9854613448200922,0.87563217,0.10982917795760438,11.144950386425863
2025-05-30,0.9814556924595501,0.87457347,0.1068822232975628,10.890173047925735
2025-06-02,1.0609253536261691,0.9039891,0.15693627701178925,14.792395758607519
2025-06-03,0.931983845056076,0.9034784,0.028505461038131674,3.058578878737597
2025-06-04,1.0050984260022526,0.87749135,0.12760707105993085,12.695977603654596
2025-06-05,0.9655481521629763,0.8910091,0.07453905983204367,7.719869761550961
2025-06-06,0.9759323077201867,0.90370023,0.07223207521438835,7.4013407121570856
2025-06-09,1.034677341369995,0.9012108,0.13346655645788563,12.899340801371498
2025-06-10,0.9882161122949868,0.9084034,0.07981271568854154,8.076443471781513
2025-06-11,0.9902447485958681,0.895959,0.09428572893491838,9.52145710124817
2025-06-12,1.0155128272779457,0.92961776,0.08589506471233288,8.458294410969899
2025-06-13,0.9498221822623243,0.9497187,0.0001034685019483117,0.01089346025819973
2025-06-16,0.9285667968991198,0.925056,0.0035108162167467594,0.3780897861597971
2025-06-17,0.9197053308041119,0.9141723,0.005533039048435606,0.60160997910037
2025-06-18,0.877815183133664,0.8993168,0.02150160458606254,2.4494455096236942
2025-06-19,1.0640107367067364,0.9123434,0.15166735387134822,14.254306713180368
2025-06-20,0.9188814621011379,0.9300761,0.011194660182797689,1.2182920914738766
2025-06-23,0.9601919222210642,0.8972082,0.06298370841491185,6.559491593016252
2025-06-24,0.9582522149001635,0.9168712,0.04138102482905759,4.31838551329296
2025-06-25,0.9858273368784849,0.9250617,0.06076563415021341,6.163922613732866
2025-06-26,1.0099014643325608,0.90275574,0.10714572702787328,10.6095228903035
2025-06-27,1.0125886903554753,0.8821268,0.13046188218897137,12.883995587899758
2025-06-30,0.9466170568953409,0.9014648,0.045152236987198835,4.7698524612779
2025-07-01,0.9664296764152778,0.885599,0.08083065927202826,8.36384283767535
2025-07-02,0.9877990906946115,0.86565065,0.12214843685550014,12.36571667317556
2025-07-03,0.9639134833269549,0.85720956,0.10670392007164486,11.069864870377728
2025-07-04,1.0501610740609972,0.8728775,0.1772835954614489,16.88156225176859
2025-07-07,0.9992831848571446,0.89861274,0.10067044720150498,10.074266106648897
2025-07-08,1.0111585223781423,0.8877387,0.12341981769674581,12.205783263980697
2025-07-09,1.0084605375151643,0.8630086,0.14545191916036693,14.423164194283583
2025-07-10,1.0326390207862102,0.87735796,0.15528106103889572,15.037303250527073
2025-07-11,0.987477831214685,0.8635349,0.12394290384652096,12.551461909181317
2025-07-14,0.9199237236209981,0.88020873,0.03971499292336622,4.317204992500933
2025-07-15,0.9988123572213219,0.8783181,0.12049428585596544,12.063756018315432
2025-07-16,0.9509481292661339,0.8741882,0.07675994452797474,8.07193811792994
2025-07-17,0.9572338954674977,0.8821881,0.0750458137261647,7.839861718385299
2025-07-18,1.0092944960858448,0.8707143,0.1385801892544849,13.73040176003279
2025-07-21,1.039992765192259,0.87926555,0.16072721839355286,15.454647741115767
2025-07-22,0.9844720306017747,0.8747138,0.10975825210598611,11.148945698223095
2025-07-23,0.9983614617578829,0.8672085,0.13115298092292194,13.136823279615777
2025-07-24,1.0632654913866495,0.8600477,0.20321779336571444,19.11261063318151
2025-07-25,0.9964675807656551,0.8583417,0.1381258868874813,13.861553506974063
2025-07-28,1.1060073112421624,0.8601723,0.24583503951364682,22.227252660522492
2025-07-29,1.0126963391540895,0.8555819,0.15711445953830583,15.514468993691075
2025-07-30,0.9060022901554654,0.8762653,0.029737002756173414,3.2822215881011396
2025-07-31,1.0226083870666614,0.8600334,0.16257499416047239,15.89806970259814
2025-08-01,1.0060619476114534,0.869647,0.13641492154944168,13.559296410455818
2025-08-04,1.048601368383526,0.8630872,0.1855141911069147,17.691583923154187
2025-08-05,1.0207806179228225,0.87005246,0.15072816106704856,14.765970123312488
2025-08-06,0.9839609293400589,0.89118993,0.0927709965168777,9.428321160993566
2025-08-07,0.9344913994936948,0.90234256,0.03214884158659026,3.4402501300716546
